food_id,food_name,genus,species,food_group,food_subgroup
171,Tomato,Solanum,lycopersicum,Vegetables,Fruit vegetables
172,Cherry Tomato,Solanum,lycopersicum,Vegetables,Fruit vegetables
173,Septoria Leaf Spot On Tomatoes,Septoria,lycopersici,Vegetables,Fruit vegetables
174,Eggplant,Solanum,melongena,Vegetables,Fruit vegetables
175,Potato,Solanum,tuberosum,Vegetables,Tubers
176,Rowanberry,Sorbus,aucuparia,Fruits,Berries
177,Sorghum,Sorghum,bicolor,Cereals and cereal products,Cereals
178,Spinach,Spinacia,oleracea,Vegetables,Leaf vegetables
179,Cloves,Syzygium,aromaticum,Herbs and Spices,Spices
180,Tamarind,Tamarindus,indica,Fruits,Tropical fruits
181,Dandelion,Taraxacum,officinale,Herbs and Spices,Herbs
182,Cocoa Bean,Theobroma,cacao,Cocoa and cocoa products,Cocoa
183,Thyme,Thymus,vulgaris,Herbs and Spices,Herbs
184,Linden,Tilia,,Herbs and Spices,Herbs
185,Littleleaf Linden,Tilia,cordata,Herbs and Spices,Herbs
186,Fenugreek,Trigonella,foenum-graecum,Herbs and Spices,Herbs
187,Common Wheat,Triticum,aestivum,Cereals and cereal products,Cereals
188,"Vaccinium sp. (Blueberry, Cranberry, Huckleberry etc.)",Vaccinium,,Fruits,Berries
189,Lowbush Blueberry,Vaccinium,angustifolium,Fruits,Berries
190,Sparkleberry,Vaccinium,arboreum,Fruits,Berries
191,Highbush Blueberry,Vaccinium,corymbosum,Fruits,Berries
192,Cranberry,Vaccinium,macrocarpon,Fruits,Berries
193,Bilberry,Vaccinium,myrtillus,Fruits,Berries
194,Lingonberry,Vaccinium,vitis-idaea,Fruits,Berries
195,Vanilla,Vanilla,,Herbs and Spices,Spices
196,Common Vervain,Verbena,officinalis,Herbs and Spices,Herbs
197,Broad Bean,Vicia,faba,Pulses,Beans
198,Azuki Bean,Vigna,angularis,Pulses,Beans
199,Urad Dal,Vigna,mungo,Pulses,Beans
200,Mung Bean,Vigna,radiata,Pulses,Beans
201,Rice Bean,Vigna,umbellata,Pulses,Beans
202,Cowpea,Vigna,unguiculata,Pulses,Peas
203,Muscadine,Vitis,rotundifolia,Fruits,Berries
204,Wine Grape,Vitis,vinifera,Fruits,Berries
205,Corn,Zea,mays,Cereals and cereal products,Cereals
206,Ginger,Zingiber,officinale,Herbs and Spices,Spices
207,Arctic Raspberry,Rubus,arcticus,Fruits,Berries
208,Banana,Musa,acuminata,Fruits,Tropical fruits
209,Bayberry,Myrica,,Fruits,Berries
210,Elliott's Blueberry,Vaccinium,elliottii,Fruits,Berries
211,Velvetleaf Blueberry,Vaccinium,myrtilloides,Fruits,Berries
212,Bog Blueberry,Vaccinium,uliginosum,Fruits,Berries
213,Buffalo Currant,Ribes,aureum,Fruits,Berries
214,Celeriac,Apium,graveolens,Vegetables,Root vegetables
215,Celery,Apium,graveolens,Vegetables,Stalk vegetables
216,Chinese Chives,Allium,tuberosum,Herbs and Spices,Herbs
217,Small Cranberry,Vaccinium,oxycoccos,Fruits,Berries
218,Deerberry,Vaccinium,stamineum,Fruits,Berries
219,Ginseng,Panax,ginseng,Herbs and Spices,Spices
